replica,PEHE,ATE_error
970,0.6510103,0.040153503
971,0.43490428,0.010874987
972,19.763233,2.3125896
973,0.4993685,0.0065145493
974,1.137415,0.049925804
975,1.048144,0.10616207
976,0.75613904,0.09263086
977,0.64427894,0.11448145
978,0.61345667,0.21999693
979,0.14172547,0.09476924
980,0.5712805,0.050094128
981,0.79290897,0.13639116
982,0.84475476,0.20683694
983,0.6745358,0.21430683
984,0.683505,0.071361065
985,0.8157763,0.18682265
986,0.8659742,0.017884254
987,0.49417382,0.07751584
988,2.3293765,0.02148819
989,0.7640502,0.19380522
990,1.3122988,0.0097231865
991,0.7484791,0.037674904
992,1.0174992,0.08146095
993,1.043219,0.011102676
994,0.74310666,0.20007777
995,0.6938957,0.09324169
996,0.9643388,0.076316595
997,1.9759532,0.19156599
998,0.5004607,0.022557735
999,0.6781082,0.037610054
1000,0.8044035,0.037444115
